FID,Id,X,Y,DEM,WaterSys_Dis,Faults_Dis
39,0,12145171.671499999240041,4348774.792589999735355,1336.521739130434753,7819.742138671875182,123373.380468749994179
40,0,12145326.388699999079108,4348777.307620000094175,1338.000000000000000,7956.372485351562318,123340.274999999994179
41,0,12145481.106000000610948,4348779.820820000022650,1341.150000000000091,8107.220092773437500,123307.251171875002910
42,0,12145635.823499999940395,4348782.332170000299811,1345.049999999999955,8258.592773437500000,123273.712109375002910
43,0,12145790.541200000792742,4348784.841679999604821,1348.500000000000000,8396.657177734374272,123239.887109375005821
44,0,12145945.259099999442697,4348787.349360000342131,1351.000000000000000,8535.124316406250728,123202.841796875000000
45,0,12146099.977099999785423,4348789.855189999565482,1355.625000000000000,8673.975146484375728,123148.198437500002910
46,0,12146254.695299999788404,4348792.359179999679327,1350.849999999999909,8813.191406250000000,123102.719140625005821
47,0,12146409.413699999451637,4348794.861329999752343,1353.150000000000091,8966.737019856771440,123069.084375000005821
48,0,12146564.132200000807643,4348797.361650000326335,1353.799999999999955,9114.292431640624272,123035.289453125005821
49,0,12146718.850999999791384,4348799.860120000317693,1342.750000000000000,9250.444970703125364,123001.544921875000000
50,0,12146873.569900000467896,4348802.356750000268221,1341.450000000000045,9391.178222656250000,122967.163043478256441
51,0,12147028.289000000804663,4348804.851540000177920,1334.304347826086996,9532.194287109374272,122926.206473214289872
52,0,12147183.008199999108911,4348807.344490000046790,1335.380952380952294,9673.480419921874272,122893.663281250002910
53,0,12147337.727600000798702,4348809.835599999874830,1329.500000000000000,9823.644442471590082,122859.933984375005821
54,0,12147492.447200000286102,4348812.324860000051558,1327.000000000000000,9976.576216264204049,122826.141796875002910
55,0,12147647.166999999433756,4348814.812289999797940,1328.400000000000091,10127.280908203125364,122792.505468749994179
56,0,12147801.886900000274181,4348817.297880000434816,1329.349999999999909,10269.533740234375728,122759.837053571434808
57,0,12147956.607000000774860,4348819.781630000099540,1328.450000000000045,10411.835791015624636,122703.711616847824189
58,0,12148111.327299999073148,4348822.263530000112951,1327.833333333333258,10554.184863281250728,122655.346093750005821
59,0,12148266.047800000756979,4348824.743599999696016,1325.500000000000000,10696.696435546875364,122621.521093749994179
60,0,12148420.768400000408292,4348827.221830000169575,1327.049999999999955,10849.151367187500000,122587.846093750005821
61,0,12148575.489199999719858,4348829.698210000060499,1325.400000000000091,11001.927587890624636,122554.343750000000000
62,0,12148730.210200000554323,4348832.172749999910593,1323.150000000000091,11145.174267578124272,122521.018359374997090
63,0,12148884.931299999356270,4348834.645460000261664,1325.599999999999909,11288.596386718749272,122484.564127604171517
64,0,12149039.652599999681115,4348837.116320000030100,1323.916666666666742,11432.187207031249272,122448.314843750005821
65,0,12149194.374099999666214,4348839.585339999757707,1325.299999999999955,11575.940820312500364,122415.547656249997090
66,0,12149349.095799999311566,4348842.052529999986291,1323.500000000000000,11731.664869225543953,122382.955468750005821
67,0,12149503.817600000649691,4348844.517869999632239,1325.000000000000000,11888.029017857143117,122350.538281250002910
68,0,12149658.539599999785423,4348846.981370000168681,1326.428571428571331,12036.976513671874272,122318.296875000000000
69,0,12149813.261800000444055,4348849.443029999732971,1328.200000000000045,12181.350488281250364,122276.002377717391937
70,0,12149967.984099999070168,4348851.902850000187755,1328.181818181818244,12325.858837890624272,122217.735440340911737
71,0,12150122.706599999219179,4348854.360829999670386,1330.500000000000000,12470.497070312500000,122186.977343749997090
72,0,12150277.429300000891089,4348856.816970000043511,1334.000000000000000,12618.416237571022066,122155.465624999997090
73,0,12150432.152200000360608,4348859.271270000375807,1334.500000000000000,12769.609757133152016,122124.131250000005821
74,0,12150586.875199999660254,4348861.723720000125468,1338.400000000000091,12926.573144531250364,122092.972656250000000
75,0,12150741.598400000482798,4348864.174340000376105,1341.750000000000000,13071.793798828124636,122063.205357142855064
76,0,12150896.321799999102950,4348866.623119999654591,1344.190476190476147,13217.121044921874272,122025.533288043472567
77,0,12151051.045299999415874,4348869.070050000213087,1344.608695652173992,13362.551904296875364,121994.449999999997090
78,0,12151205.768999999389052,4348871.515150000341237,1343.849999999999909,13508.082373046874636,121964.033203125000000
79,0,12151360.492900000885129,4348873.958399999886751,1346.400000000000091,13668.279296875000000,121933.793359375005821
80,0,12151515.216900000348687,4348876.399810000322759,1339.904761904761926,13828.585888671874272,121903.730078124994179
81,0,12151669.941099999472499,4348878.839390000328422,1342.200000000000045,13974.415478515624272,121869.775669642855064
82,0,12151824.665500000119209,4348881.277119999751449,1345.099999999999909,14120.332275390625000,121811.767903645828483
83,0,12151979.390000000596046,4348883.713010000064969,1343.958333333333258,14266.333935546874272,121779.301953125002910
84,0,12152134.114800000563264,4348886.147060000337660,1344.549999999999955,14414.404901413690823,121749.884374999994179
85,0,12152288.839700000360608,4348888.579269999638200,1343.099999999999909,14563.781334918478024,121720.467578124997090
86,0,12152443.564699999988079,4348891.009639999829233,1346.150000000000091,14722.828683035713766,121691.050390624994179
87,0,12152598.289899999275804,4348893.438169999979436,1347.500000000000000,14855.158447265625000,121661.704296875002910
88,0,12152753.015300000086427,4348895.864860000088811,1347.200000000000045,14809.854492187500000,121633.627485795455868
89,0,12152907.740900000557303,4348898.289710000157356,1345.636363636363740,14722.238281250000000,121596.669744318176527
90,0,12153062.466600000858307,4348900.712709999643266,1343.636363636363740,14635.634765625000000,121568.992187500000000
91,0,12153217.192500000819564,4348903.133879999630153,1343.849999999999909,14549.410853794643117,121540.395312499997090
92,0,12153371.918600000441074,4348905.553199999965727,1344.599999999999909,14453.720108695652016,121511.973437499997090
93,0,12153526.644799999892712,4348907.970689999870956,1345.000000000000000,14365.379296875000364,121483.733203124997090
94,0,12153681.371200000867248,4348910.386330000124872,1342.700000000000045,14282.395458984374272,121432.091015625002910
95,0,12153836.097799999639392,4348912.800139999948442,1343.349999999999909,14200.398828125000364,121395.530598958328483
96,0,12153990.824500000104308,4348915.212100000120699,1342.333333333333258,14119.519482421874272,121365.074218750000000
97,0,12154145.551400000229478,4348917.622220000252128,1343.099999999999909,14022.929920014881645,121337.570703125005821
98,0,12154300.278500000014901,4348920.030500000342727,1342.599999999999909,13927.787597656250000,121309.867187500000000
99,0,12154455.005699999630451,4348922.436940000392497,1339.150000000000091,13842.653222656250364,121282.134765625000000
100,0,12154609.733100000768900,4348924.841540000401437,1337.500000000000000,13766.537402343750728,121254.582812499997090
101,0,12154764.460699999704957,4348927.244300000369549,1338.099999999999909,13691.641992187500364,121224.485026041671517
102,0,12154919.188400000333786,4348929.645220000296831,1339.583333333333258,13615.986181640624636,121194.598437499997090
103,0,12155073.916300000622869,4348932.044289999641478,1340.099999999999909,13533.359521484375364,121167.621093750000000
104,0,12155228.644400000572205,4348934.441530000418425,1338.849999999999909,13446.062160326086087,121140.821484375002910
105,0,12155383.372600000351667,4348936.836919999681413,1336.250000000000000,13353.812546502977057,121113.976562500000000
106,0,12155538.100999999791384,4348939.230480000376701,1340.150000000000091,13273.365625000000364,121077.418898809526581
107,0,12155692.829600000753999,4348941.622189999558032,1336.200000000000045,13194.648291015624636,121030.846590909088263
108,0,12155847.558299999684095,4348944.012070000171661,1332.818181818181756,13117.173779296874272,120995.505326704544132
109,0,12156002.287200000137091,4348946.400100000202656,1331.545454545454504,13032.211030505952294,120969.409765624994179
110,0,12156157.016300000250340,4348948.786290000192821,1331.599999999999909,12939.986718750000364,120942.306249999994179
111,0,12156311.745500000193715,4348951.170640000142157,1328.099999999999909,12858.947021484375000,120915.383203125005821
112,0,12156466.474899999797344,4348953.553150000050664,1331.700000000000045,12779.474609375000000,120888.613281250000000
113,0,12156621.204500000923872,4348955.933819999918342,1331.450000000000045,12708.677392578125364,120861.724609375000000
114,0,12156775.934200000017881,4348958.312649999745190,1329.049999999999955,12639.263525390624636,120832.252929687500000
115,0,12156930.664100000634789,4348960.689629999920726,1326.625000000000000,12571.256494140625364,120802.696093749997090
116,0,12157085.394099999219179,4348963.064779999665916,1326.000000000000000,12504.678906249999272,120775.358984374994179
117,0,12157240.124399999156594,4348965.438079999759793,1326.700000000000045,12433.149251302083940,120747.727343749997090
118,0,12157394.854800000786781,4348967.809550000354648,1324.349999999999909,12363.353417968750364,120720.276562500002910
119,0,12157549.585300000384450,4348970.179170000366867,1327.049999999999955,12301.504492187499636,120669.402734375005821
120,0,12157704.315999999642372,4348972.546950000338256,1321.000000000000000,12241.181298828125364,120633.708658854171517
121,0,12157859.046900000423193,4348974.912899999879301,1316.208333333333258,12182.406298828125728,120604.128515624994179
122,0,12158013.777899999171495,4348977.276999999769032,1314.000000000000000,12106.536969866070649,120577.353515625000000
