FID,Id,X,Y,DEM,Eq_Dis,Faults_Dis,Aspect,Comp_Cur,WaterSys_Dis,Plan_Cur,Prof_Cur,Slope
71,0,12160275.55,4432541.92,1517,29385.69922,38145.39844,194.0359955,0.222222,5045.709961,0.132479,-0.0897436,5.8851299
72,0,12160305.55,4432541.92,1517,29383.19922,38138.5,202.7510071,-0.555556,5015.75,-0.22831,0.327245,7.9732299
73,0,12160335.55,4432541.92,1520,29380.69922,38131.69922,210.5299988,0,4985.779785,0.0735294,0.0735294,10.6835003
74,0,12160365.55,4432541.92,1523,29378.19922,38124.89844,211.3730011,-0.111111,4955.810059,-0.0488323,0.0622788,11.3147001
75,0,12160395.55,4432541.92,1526,29375.80078,38118.19922,202.8339996,0.111111,4925.850098,0.126002,0.0148912,9.7480297
76,0,12160425.55,4432541.92,1527,29373.40039,38111.39844,181.4689941,0,4895.890137,0.126694,0.126694,9.2328701
77,0,12160455.55,4432541.92,1527,29371,38104.69922,172.2350006,0.333333,4865.919922,0.102682,-0.230651,10.4828997
78,0,12160485.55,4432541.92,1526,29368.59961,38098,184.1849976,-0.111111,4835.959961,-0.222222,-0.111111,9.7198696
79,0,12160515.55,4432541.92,1527,29366.30078,38091.39844,192.0950012,0,4806,0.0444444,0.0444444,6.80409
80,0,12160545.55,4432541.92,1527,29364,38084.69922,176.6340027,-0.111111,4776.029785,0,0.111111,4.05866
81,0,12160575.55,4432541.92,1527,29361.80078,38078.10156,147.0950012,0.333333,4746.069824,0.133333,-0.2,4.8225398
82,0,12160605.55,4432541.92,1524,29359.59961,38071.5,138.576004,-0.333333,4716.109863,-0.0746812,0.258652,5.39642
83,0,12160635.55,4432541.92,1522,29357.40039,38064.60156,168.6900024,-0.888889,4686.149902,-0.333333,0.555556,2.43314
84,0,12160665.55,4432541.92,1523,29355.19922,38057.80078,242.1029968,-0.777778,4656.189941,-0.371648,0.40613,4.5823102
85,0,12160695.55,4432541.92,1527,29353.09961,38050.89844,239.0359955,-0.111111,4626.229981,-0.0683761,0.042735,6.92625
86,0,12160725.55,4432541.92,1530,29351,38044.10156,225,0,4596.27002,0,0,6.0545001
87,0,12160755.55,4432541.92,1532,29348.90039,38037.30078,220.9140015,0.111111,4566.310059,-0.0088889,-0.12,4.7279401
88,0,12160785.55,4432541.92,1533,29346.90039,38030.5,239.0359955,-0.444444,4536.350098,-0.288889,0.155556,4.1687398
89,0,12160815.55,4432541.92,1536,29344.90039,38023.69922,210.9640045,0.666667,4506.399902,0.305556,-0.361111,1.39176
90,0,12160845.55,4432541.92,1534,29342.90039,38017,111.038002,-0.111111,4476.439941,-0.117647,-0.006536,3.32143
91,0,12160875.55,4432541.92,1532,29340.90039,38010.30078,120.9639969,-0.222222,4446.479981,-0.244444,-0.0222222,4.1687398
92,0,12160905.55,4432541.92,1530,29339,38003.60156,135,-0.333333,4416.529785,-0.151111,0.182222,4.0446901
93,0,12160935.55,4432541.92,1529,29337.09961,37996.89844,210.9640045,-0.555556,4386.569824,-0.466667,0.0888889,1.39176
94,0,12160965.55,4432541.92,1531,29335.30078,37990.30078,315,0.111111,4356.620117,0.273504,0.162393,2.6989501
95,0,12160995.55,4432541.92,1531,29333.40039,37983.69922,336.8009949,-0.333333,4326.660156,-0.117647,0.215686,3.6313901
96,0,12161025.55,4432541.92,1532,29331.69922,37977,315,-0.444444,4296.709961,-0.25,0.194444,4.3804898
97,0,12161055.55,4432541.92,1534,29329.90039,37970.10156,315,-0.222222,4266.759766,-0.138889,0.0833333,3.7086201
98,0,12161085.55,4432541.92,1535,29328.19922,37963.30078,302.0050049,-0.555556,4236.799805,-0.237548,0.318008,4.4951501
99,0,12161115.55,4432541.92,1539,29326.5,37956.39844,288.4349976,-0.111111,4206.850098,0.0988787,0.20999,8.2468901
100,0,12161145.55,4432541.92,1545,29324.80078,37949.60156,288.4349976,0.888889,4176.899902,0.5,-0.388889,7.5061402
101,0,12161175.55,4432541.92,1548,29323.09961,37942.80078,299.0549927,1.11111,4146.950195,0.683333,-0.427778,2.4563899
102,0,12161205.55,4432541.92,1548,29321.5,37936.10156,99.4623032,1.2222199,4117,0.888889,-0.333333,2.9018199
103,0,12161235.55,4432541.92,1545,29319.90039,37929.30078,120.0690002,0.777778,4087.050049,0.511111,-0.266667,5.2266998
104,0,12161265.55,4432541.92,1542,29318.40039,37922.60156,143.1300049,0.111111,4057.100098,-0.0054201,-0.116531,4.7636399
