FID,Name,X,Y,Depth,Cls,DEM,WaterSys_Dis,Slope,Plan_Cur,Prof_Cur,Comp_Cur,Aspect,Faults_Dis,Eq_Dis
49,H13,12161220.000000000000000,4434999.345999999903142,49,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
50,H13,12161220.000000000000000,4434999.345999999903142,50,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
51,H13,12161220.000000000000000,4434999.345999999903142,51,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
52,H13,12161220.000000000000000,4434999.345999999903142,52,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
53,H13,12161220.000000000000000,4434999.345999999903142,53,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
54,H13,12161220.000000000000000,4434999.345999999903142,54,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
55,H13,12161220.000000000000000,4434999.345999999903142,55,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
56,H13,12161220.000000000000000,4434999.345999999903142,56,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
57,H13,12161220.000000000000000,4434999.345999999903142,57,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
58,H13,12161220.000000000000000,4434999.345999999903142,58,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
59,H13,12161220.000000000000000,4434999.345999999903142,59,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
60,H13,12161220.000000000000000,4434999.345999999903142,60,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
61,H13,12161220.000000000000000,4434999.345999999903142,61,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
62,H13,12161220.000000000000000,4434999.345999999903142,62,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
63,H13,12161220.000000000000000,4434999.345999999903142,63,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
64,H13,12161220.000000000000000,4434999.345999999903142,64,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
65,H13,12161220.000000000000000,4434999.345999999903142,65,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
66,H13,12161220.000000000000000,4434999.345999999903142,66,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
67,H13,12161220.000000000000000,4434999.345999999903142,67,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
68,H13,12161220.000000000000000,4434999.345999999903142,68,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
69,H13,12161220.000000000000000,4434999.345999999903142,69,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
